,pivot,size,it,disorder,exec_time
117,centro,1000,7,0.05,0.0019831657409667
118,centro,1000,8,0.05,0.0040078163146972
119,centro,1000,9,0.05,0.0050022602081298
120,centro,10000,0,0.05,0.0410008430480957
121,centro,10000,1,0.05,0.0379960536956787
122,centro,10000,2,0.05,0.037999153137207
123,centro,10000,3,0.05,0.0479984283447265
124,centro,10000,4,0.05,0.0339987277984619
125,centro,10000,5,0.05,0.0309982299804687
126,centro,10000,6,0.05,0.0259990692138671
127,centro,10000,7,0.05,0.0390071868896484
128,centro,10000,8,0.05,0.0279958248138427
129,centro,10000,9,0.05,0.0319747924804687
130,centro,100000,0,0.05,0.4419963359832763
131,centro,100000,1,0.05,0.4029989242553711
132,centro,100000,2,0.05,0.4359951019287109
133,centro,100000,3,0.05,0.3890175819396972
134,centro,100000,4,0.05,0.3790020942687988
135,centro,100000,5,0.05,0.4560029506683349
136,centro,100000,6,0.05,0.54799485206604
137,centro,100000,7,0.05,0.5209956169128418
138,centro,100000,8,0.05,0.4120016098022461
139,centro,100000,9,0.05,0.5279974937438965
140,centro,1000000,0,0.05,5.496006488800049
141,centro,1000000,1,0.05,4.8450026512146
142,centro,1000000,2,0.05,5.397998332977295
143,centro,1000000,3,0.05,4.507979393005371
144,centro,1000000,4,0.05,5.7109997272491455
145,centro,1000000,5,0.05,4.121994972229004
146,centro,1000000,6,0.05,4.818023681640625
147,centro,1000000,7,0.05,4.9079954624176025
148,centro,1000000,8,0.05,4.127012491226196
149,centro,1000000,9,0.05,4.622998237609863
150,media3,100,0,0.05,0.0010015964508056
151,media3,100,1,0.05,0.0009996891021728
152,media3,100,2,0.05,0.0020012855529785
153,media3,100,3,0.05,0.0009965896606445
154,media3,100,4,0.05,0.0020012855529785
155,media3,100,5,0.05,0.0030000209808349
156,media3,100,6,0.05,0.0040023326873779
157,media3,100,7,0.05,0.0039987564086914
158,media3,100,8,0.05,0.0020003318786621
159,media3,100,9,0.05,0.0029997825622558
160,media3,1000,0,0.05,0.0269994735717773
161,media3,1000,1,0.05,0.0210001468658447
162,media3,1000,2,0.05,0.0189990997314453
163,media3,1000,3,0.05,0.0339994430541992
164,media3,1000,4,0.05,0.020998477935791
165,media3,1000,5,0.05,0.0169992446899414
166,media3,1000,6,0.05,0.0190024375915527
167,media3,1000,7,0.05,0.023015022277832
168,media3,1000,8,0.05,0.0189955234527587
169,media3,1000,9,0.05,0.0190038681030273
170,media3,10000,0,0.05,0.4260001182556152
171,media3,10000,1,0.05,0.4269793033599853
172,media3,10000,2,0.05,0.3710014820098877
173,media3,10000,3,0.05,0.2919981479644775
174,media3,10000,4,0.05,0.284003734588623
175,media3,10000,5,0.05,0.3029959201812744
176,media3,10000,6,0.05,0.2890000343322754
177,media3,10000,7,0.05,0.284020185470581
178,media3,10000,8,0.05,0.2959961891174316
179,media3,10000,9,0.05,0.3489947319030761
180,media3,100000,0,0.05,4.021012544631958
181,media3,100000,1,0.05,3.1989989280700684
182,media3,100000,2,0.05,3.542985677719116
183,media3,100000,3,0.05,3.560014247894287
184,media3,100000,4,0.05,3.138983964920044
185,media3,100000,5,0.05,3.3980166912078857
186,media3,100000,6,0.05,3.434983968734741
187,media3,100000,7,0.05,3.2560110092163086
188,media3,100000,8,0.05,3.2430005073547363
189,media3,100000,9,0.05,3.424020290374756
190,media3,1000000,0,0.05,39.66201877593994
191,media3,1000000,1,0.05,40.91442894935608
192,media3,1000000,2,0.05,47.04498505592346
193,media3,1000000,3,0.05,40.11799931526184
194,media3,1000000,4,0.05,40.78097605705261
195,media3,1000000,5,0.05,40.762001514434814
196,media3,1000000,6,0.05,41.61985087394714
197,media3,1000000,7,0.05,41.40392875671387
198,media3,1000000,8,0.05,37.97291040420532
199,media3,1000000,9,0.05,38.01202893257141
200,random,100,0,0.05,0.0009992122650146
201,random,100,1,0.05,0.0
202,random,100,2,0.05,0.001000165939331
203,random,100,3,0.05,0.0
204,random,100,4,0.05,0.0
205,random,100,5,0.05,0.0
206,random,100,6,0.05,0.0
207,random,100,7,0.05,0.0
208,random,100,8,0.05,0.0
209,random,100,9,0.05,0.0009994506835937
210,random,1000,0,0.05,0.0039982795715332
211,random,1000,1,0.05,0.0040018558502197
212,random,1000,2,0.05,0.004997968673706
213,random,1000,3,0.05,0.0040016174316406
214,random,1000,4,0.05,0.0039987564086914
215,random,1000,5,0.05,0.0039997100830078
216,random,1000,6,0.05,0.0039999485015869
217,random,1000,7,0.05,0.0039999485015869
218,random,1000,8,0.05,0.0040006637573242
219,random,1000,9,0.05,0.0039992332458496
220,random,10000,0,0.05,0.0490002632141113
221,random,10000,1,0.05,0.0499982833862304
222,random,10000,2,0.05,0.0489976406097412
223,random,10000,3,0.05,0.0490005016326904
224,random,10000,4,0.05,0.0510029792785644
225,random,10000,5,0.05,0.0490002632141113
226,random,10000,6,0.05,0.0490000247955322
227,random,10000,7,0.05,0.0619997978210449
228,random,10000,8,0.05,0.0579996109008789
229,random,10000,9,0.05,0.065004825592041
230,random,100000,0,0.05,0.5910191535949707
231,random,100000,1,0.05,0.643977165222168
232,random,100000,2,0.05,0.6110010147094727
233,random,100000,3,0.05,0.5860159397125244
234,random,100000,4,0.05,0.6399953365325928
235,random,100000,5,0.05,0.6649978160858154
236,random,100000,6,0.05,0.6439974308013916
237,random,100000,7,0.05,0.6970148086547852
238,random,100000,8,0.05,0.6929876804351807
239,random,100000,9,0.05,0.6680235862731934
240,random,1000000,0,0.05,6.867997169494629
241,random,1000000,1,0.05,7.346997976303101
242,random,1000000,2,0.05,7.175985097885132
243,random,1000000,3,0.05,6.966012239456177
244,random,1000000,4,0.05,7.253997564315796
245,random,1000000,5,0.05,6.927998065948486
246,random,1000000,6,0.05,7.370995998382568
247,random,1000000,7,0.05,7.625994205474853
248,random,1000000,8,0.05,7.000986576080322
249,random,1000000,9,0.05,7.0119829177856445
250,mediana,100,0,0.05,0.0
251,mediana,100,1,0.05,0.0
252,mediana,100,2,0.05,0.0
253,mediana,100,3,0.05,0.000995397567749
254,mediana,100,4,0.05,0.0
255,mediana,100,5,0.05,0.0
256,mediana,100,6,0.05,0.0
257,mediana,100,7,0.05,0.0009982585906982
258,mediana,100,8,0.05,0.0
259,mediana,100,9,0.05,0.0
260,mediana,1000,0,0.05,0.0020027160644531
261,mediana,1000,1,0.05,0.002002477645874
262,mediana,1000,2,0.05,0.0029950141906738
263,mediana,1000,3,0.05,0.0020015239715576
264,mediana,1000,4,0.05,0.0020160675048828
265,mediana,1000,5,0.05,0.0030064582824707
266,mediana,1000,6,0.05,0.0040009021759033
267,mediana,1000,7,0.05,0.0019938945770263
268,mediana,1000,8,0.05,0.0019798278808593
269,mediana,1000,9,0.05,0.0030233860015869
270,mediana,10000,0,0.05,0.0360031127929687
271,mediana,10000,1,0.05,0.0399985313415527
272,mediana,10000,2,0.05,0.0330002307891845
273,mediana,10000,3,0.05,0.0420057773590087
274,mediana,10000,4,0.05,0.0329911708831787
275,mediana,10000,5,0.05,0.0338609218597412
276,mediana,10000,6,0.05,0.0410037040710449
277,mediana,10000,7,0.05,0.0289912223815917
278,mediana,10000,8,0.05,0.0350005626678466
279,mediana,10000,9,0.05,0.0310094356536865
280,mediana,100000,0,0.05,0.4259846210479736
281,mediana,100000,1,0.05,0.475999116897583
282,mediana,100000,2,0.05,0.3950247764587402
283,mediana,100000,3,0.05,0.3989994525909424
284,mediana,100000,4,0.05,0.384979248046875
285,mediana,100000,5,0.05,0.4389986991882324
286,mediana,100000,6,0.05,0.4290015697479248
287,mediana,100000,7,0.05,0.551994800567627
288,mediana,100000,8,0.05,0.423997163772583
289,mediana,100000,9,0.05,0.4289977550506592
290,mediana,1000000,0,0.05,5.354717016220093
291,mediana,1000000,1,0.05,5.298066139221191
292,mediana,1000000,2,0.05,6.036403894424439
293,mediana,1000000,3,0.05,5.070997714996338
294,mediana,1000000,4,0.05,4.630978345870972
295,mediana,1000000,5,0.05,4.733011960983276
296,mediana,1000000,6,0.05,4.189998149871826
297,mediana,1000000,7,0.05,4.441014766693115
298,mediana,1000000,8,0.05,4.001999378204346
299,mediana,1000000,9,0.05,5.187002182006836
300,primeiro,100,0,0.25,0.0
301,primeiro,100,1,0.25,0.0
302,primeiro,100,2,0.25,0.0009524822235107
303,primeiro,100,3,0.25,0.0
304,primeiro,100,4,0.25,0.0
305,primeiro,100,5,0.25,0.0009989738464355
306,primeiro,100,6,0.25,0.0
