,pivot,size,it,disorder,exec_time
116,centro,1000,6,0.05,0.0019989013671875
117,centro,1000,7,0.05,0.002000093460083008
118,centro,1000,8,0.05,0.0020008087158203125
119,centro,1000,9,0.05,0.0019986629486083984
120,centro,10000,0,0.05,0.024991512298583984
121,centro,10000,1,0.05,0.024999380111694336
122,centro,10000,2,0.05,0.025983572006225586
123,centro,10000,3,0.05,0.024999380111694336
124,centro,10000,4,0.05,0.025000333786010742
125,centro,10000,5,0.05,0.025003671646118164
126,centro,10000,6,0.05,0.025011062622070312
127,centro,10000,7,0.05,0.027000904083251953
128,centro,10000,8,0.05,0.027009248733520508
129,centro,10000,9,0.05,0.026027917861938477
130,centro,100000,0,0.05,0.3179891109466553
131,centro,100000,1,0.05,0.3470122814178467
132,centro,100000,2,0.05,0.3509993553161621
133,centro,100000,3,0.05,0.32698726654052734
134,centro,100000,4,0.05,0.3279998302459717
135,centro,100000,5,0.05,0.3339955806732178
136,centro,100000,6,0.05,0.3540029525756836
137,centro,100000,7,0.05,0.36199426651000977
138,centro,100000,8,0.05,0.3390157222747803
139,centro,100000,9,0.05,0.3729875087738037
140,centro,1000000,0,0.05,4.094001531600952
141,centro,1000000,1,0.05,3.7480101585388184
142,centro,1000000,2,0.05,3.997992992401123
143,centro,1000000,3,0.05,4.136004209518433
144,centro,1000000,4,0.05,3.6590051651000977
145,centro,1000000,5,0.05,4.153990983963013
146,centro,1000000,6,0.05,3.9280190467834473
147,centro,1000000,7,0.05,3.703979253768921
148,centro,1000000,8,0.05,4.258982419967651
149,centro,1000000,9,0.05,3.9159927368164062
150,media3,100,0,0.05,0.0
151,media3,100,1,0.05,0.001001119613647461
152,media3,100,2,0.05,0.0
153,media3,100,3,0.05,0.0009982585906982422
154,media3,100,4,0.05,0.0
155,media3,100,5,0.05,0.0010001659393310547
156,media3,100,6,0.05,0.0
157,media3,100,7,0.05,0.0
158,media3,100,8,0.05,0.0
159,media3,100,9,0.05,0.0010004043579101562
160,media3,1000,0,0.05,0.0019989013671875
161,media3,1000,1,0.05,0.002000570297241211
162,media3,1000,2,0.05,0.002987384796142578
163,media3,1000,3,0.05,0.0020122528076171875
164,media3,1000,4,0.05,0.0019996166229248047
165,media3,1000,5,0.05,0.0019884109497070312
166,media3,1000,6,0.05,0.002010822296142578
167,media3,1000,7,0.05,0.0019996166229248047
168,media3,1000,8,0.05,0.0020003318786621094
169,media3,1000,9,0.05,0.002000570297241211
170,media3,10000,0,0.05,0.02698683738708496
171,media3,10000,1,0.05,0.03099989891052246
172,media3,10000,2,0.05,0.030013322830200195
173,media3,10000,3,0.05,0.028000354766845703
174,media3,10000,4,0.05,0.027987003326416016
175,media3,10000,5,0.05,0.030978679656982422
176,media3,10000,6,0.05,0.03199887275695801
177,media3,10000,7,0.05,0.030000925064086914
178,media3,10000,8,0.05,0.03200364112854004
179,media3,10000,9,0.05,0.03100419044494629
180,media3,100000,0,0.05,0.3549942970275879
181,media3,100000,1,0.05,0.36600184440612793
182,media3,100000,2,0.05,0.3679990768432617
183,media3,100000,3,0.05,0.34998464584350586
184,media3,100000,4,0.05,0.3609945774078369
185,media3,100000,5,0.05,0.35801219940185547
186,media3,100000,6,0.05,0.3809788227081299
187,media3,100000,7,0.05,0.40101146697998047
188,media3,100000,8,0.05,0.408998966217041
189,media3,100000,9,0.05,0.3889927864074707
190,media3,1000000,0,0.05,4.564987897872925
191,media3,1000000,1,0.05,4.036993980407715
192,media3,1000000,2,0.05,4.429776191711426
193,media3,1000000,3,0.05,4.33064079284668
194,media3,1000000,4,0.05,4.126017332077026
195,media3,1000000,5,0.05,4.5530030727386475
196,media3,1000000,6,0.05,4.086994886398315
197,media3,1000000,7,0.05,4.34400486946106
198,media3,1000000,8,0.05,4.442017555236816
199,media3,1000000,9,0.05,4.0980002880096436
200,random,100,0,0.05,0.005986452102661133
201,random,100,1,0.05,0.0010020732879638672
202,random,100,2,0.05,0.0009996891021728516
203,random,100,3,0.05,0.0010106563568115234
204,random,100,4,0.05,0.0009992122650146484
205,random,100,5,0.05,0.0
206,random,100,6,0.05,0.0
207,random,100,7,0.05,0.00099945068359375
208,random,100,8,0.05,0.0010001659393310547
209,random,100,9,0.05,0.0010001659393310547
210,random,1000,0,0.05,0.007005214691162109
211,random,1000,1,0.05,0.00800013542175293
212,random,1000,2,0.05,0.00698399543762207
213,random,1000,3,0.05,0.004004001617431641
214,random,1000,4,0.05,0.003999948501586914
215,random,1000,5,0.05,0.0040035247802734375
216,random,1000,6,0.05,0.003994941711425781
217,random,1000,7,0.05,0.004988193511962891
218,random,1000,8,0.05,0.00501251220703125
219,random,1000,9,0.05,0.008984565734863281
220,random,10000,0,0.05,0.0540006160736084
221,random,10000,1,0.05,0.06197977066040039
